### DATA:
#
# 566
#      Q             I(Q)           Error     
1.48700335E-02  3.18338856E-01  3.46907469E-02
1.53741024E-02  2.81456792E-01  3.31963166E-02
1.58781713E-02  3.21284058E-01  3.15674713E-02
1.63822403E-02  2.51899194E-01  2.97940806E-02
1.68863092E-02  3.21431631E-01  2.94314528E-02
1.73903781E-02  3.07685700E-01  2.75865028E-02
1.78944471E-02  3.18575954E-01  2.70941287E-02
1.83985160E-02  2.96044633E-01  2.56137018E-02
1.89025849E-02  2.75193621E-01  2.48985607E-02
1.94066539E-02  3.21848023E-01  2.45773475E-02
1.99107228E-02  2.97496836E-01  2.31234916E-02
2.04147917E-02  2.81564386E-01  2.29507962E-02
2.09188606E-02  3.00175602E-01  2.17793959E-02
2.14229296E-02  2.76260109E-01  2.14112041E-02
2.19269985E-02  2.84548914E-01  2.10325208E-02
2.24310674E-02  3.03192001E-01  2.03193483E-02
2.29351364E-02  3.29809812E-01  2.01529693E-02
2.34392053E-02  2.88742479E-01  1.92828530E-02
2.39432742E-02  3.25338085E-01  1.96344749E-02
2.44473432E-02  2.93248699E-01  1.96116026E-02
2.49514121E-02  2.91408257E-01  1.93183078E-02
2.54554810E-02  2.70181776E-01  1.92909899E-02
2.59595500E-02  2.95684101E-01  1.90466471E-02
2.64636189E-02  2.90870356E-01  1.91862818E-02
2.69676878E-02  2.68735701E-01  1.87721184E-02
2.74717567E-02  2.66227655E-01  1.87006018E-02
2.79758257E-02  3.10620478E-01  1.89505162E-02
2.84798946E-02  2.82538943E-01  1.82138610E-02
2.89839635E-02  3.00269254E-01  1.86033526E-02
2.94880325E-02  2.97359365E-01  1.81862778E-02
2.99921014E-02  2.89286093E-01  1.81547750E-02
3.04961703E-02  2.76397579E-01  1.81902070E-02
3.10002393E-02  3.04596102E-01  1.76258268E-02
3.15043082E-02  2.61996910E-01  1.75160329E-02
3.20083771E-02  2.72625242E-01  1.73143745E-02
3.25124460E-02  2.74024819E-01  1.73338262E-02
3.30165150E-02  2.89345948E-01  1.75143415E-02
3.35205839E-02  2.93817422E-01  1.69534127E-02
3.40246528E-02  2.84930303E-01  1.67539677E-02
3.45287218E-02  2.96319771E-01  1.61858192E-02
3.50327907E-02  2.92296977E-01  1.58035782E-02
3.55368596E-02  2.49394187E-01  1.52007301E-02
3.60409286E-02  2.83791792E-01  1.48475425E-02
3.65449975E-02  2.81477782E-01  1.49336010E-02
3.70490664E-02  2.76121163E-01  1.46594866E-02
3.75531354E-02  2.68791312E-01  1.43559567E-02
3.80572043E-02  2.96200333E-01  1.42710794E-02
3.85612732E-02  2.69350794E-01  1.38477401E-02
3.90653421E-02  2.72864394E-01  1.39443937E-02
3.95694111E-02  2.48863820E-01  1.33615338E-02
4.00734800E-02  2.63721955E-01  1.33572693E-02
4.05775489E-02  2.58572484E-01  1.32013878E-02
