#File Plotted Below: avg_em_0047.dat

#Fit from 0.015-0.15 with polymer MFF
#Initial search parameter for I0 = 0.2809663147
#Initial search parameter for Rg = 30.0
#Initial search parameter for nu = 0.499880565034
#BestFit for I0 = 0.30983 +- 0.00454
#BestFit for I(0)/I0 = 1.00000 +- 0.01465
#BestFit for Rg = 24.69250 +- 0.36503
#BestFit for nu = 0.50049 +- 0.02560
#BestFit reduced chisquared = 1.16769
#-------------
#-------------

#q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.01487,0.34691,0.05094,0.29590,1.11967,0.16443,0.95504,0.36718,0.15095,0.02217,0.12876
0.01537,0.33148,0.04860,0.29495,1.06987,0.15688,0.95197,0.37963,0.15419,0.02261,0.13719
0.01588,0.24108,0.04513,0.29397,0.77809,0.14567,0.94880,0.39207,0.11961,0.02239,0.14585
0.01638,0.23647,0.04265,0.29296,0.76324,0.13765,0.94556,0.40452,0.12489,0.02252,0.15473
0.01689,0.25273,0.04103,0.29193,0.81570,0.13242,0.94223,0.41697,0.14182,0.02302,0.16382
0.01739,0.26437,0.03819,0.29087,0.85328,0.12326,0.93882,0.42941,0.15734,0.02273,0.17311
0.01789,0.40427,0.03772,0.28979,1.30480,0.12175,0.93534,0.44186,0.25475,0.02377,0.18261
0.01840,0.29594,0.03501,0.28869,0.95516,0.11300,0.93177,0.45431,0.19714,0.02332,0.19231
0.01890,0.25653,0.03386,0.28756,0.82799,0.10927,0.92814,0.46675,0.18038,0.02381,0.20220
0.01941,0.23678,0.03237,0.28641,0.76424,0.10447,0.92443,0.47920,0.17549,0.02399,0.21228
0.01991,0.29002,0.03065,0.28524,0.93605,0.09892,0.92064,0.49165,0.22626,0.02391,0.22253
0.02041,0.28143,0.03008,0.28405,0.90834,0.09710,0.91679,0.50409,0.23082,0.02467,0.23296
0.02092,0.27918,0.02849,0.28283,0.90108,0.09194,0.91287,0.51654,0.24042,0.02453,0.24356
0.02142,0.29478,0.02823,0.28160,0.95144,0.09111,0.90888,0.52899,0.26624,0.02549,0.25433
0.02193,0.28980,0.02717,0.28034,0.93536,0.08770,0.90483,0.54143,0.27420,0.02571,0.26525
0.02243,0.27111,0.02575,0.27907,0.87504,0.08312,0.90071,0.55388,0.26845,0.02550,0.27632
0.02294,0.28229,0.02539,0.27777,0.91112,0.08193,0.89653,0.56633,0.29222,0.02628,0.28754
0.02344,0.28046,0.02431,0.27646,0.90521,0.07845,0.89229,0.57877,0.30323,0.02628,0.29890
0.02394,0.24712,0.02400,0.27512,0.79761,0.07746,0.88799,0.59122,0.27880,0.02708,0.31039
0.02445,0.19420,0.02358,0.27377,0.62679,0.07610,0.88363,0.60367,0.22841,0.02773,0.32201
0.02495,0.27523,0.02343,0.27241,0.88834,0.07563,0.87922,0.61611,0.33721,0.02871,0.33375
0.02546,0.27959,0.02334,0.27102,0.90241,0.07532,0.87475,0.62856,0.35653,0.02976,0.34560
0.02596,0.29618,0.02285,0.26962,0.95594,0.07375,0.87024,0.64101,0.39279,0.03030,0.35757
0.02646,0.24940,0.02265,0.26821,0.80497,0.07310,0.86567,0.65345,0.34372,0.03121,0.36964
0.02697,0.24303,0.02211,0.26678,0.78439,0.07135,0.86105,0.66590,0.34782,0.03164,0.38181
0.02747,0.27484,0.02202,0.26533,0.88706,0.07106,0.85638,0.67835,0.40819,0.03270,0.39407
0.02798,0.25651,0.02182,0.26387,0.82791,0.07043,0.85167,0.69079,0.39507,0.03361,0.40641
0.02848,0.23323,0.02092,0.26240,0.75278,0.06753,0.84692,0.70324,0.37228,0.03340,0.41884
0.02898,0.23484,0.02111,0.26091,0.75796,0.06814,0.84212,0.71569,0.38823,0.03490,0.43134
0.02949,0.31773,0.02084,0.25941,1.02549,0.06727,0.83728,0.72813,0.54369,0.03566,0.44391
0.02999,0.25324,0.02050,0.25790,0.81737,0.06615,0.83240,0.74058,0.44829,0.03628,0.45654
