### DATA:
#
# 550
#      Q             I(Q)           Error     
1.47800894E-02  1.31533238E+00  4.61176240E-01
1.52986890E-02  1.14553568E+00  4.40833562E-01
1.58172887E-02  1.46901645E+00  3.93333140E-01
1.63358883E-02  1.13570288E+00  3.79010308E-01
1.68544879E-02  8.80914598E-01  3.54194500E-01
1.73730875E-02  1.03523582E+00  3.31453989E-01
1.78916872E-02  7.99031136E-01  3.20965859E-01
1.84102868E-02  1.37952733E+00  3.08151867E-01
1.89288864E-02  1.09393795E+00  3.05758562E-01
1.94474861E-02  1.47613174E+00  2.87363879E-01
1.99660857E-02  7.12172422E-01  2.68945451E-01
2.04846853E-02  1.09356606E+00  2.75250102E-01
2.10032849E-02  1.00081512E+00  2.59888374E-01
2.15218846E-02  1.30592979E+00  2.59875984E-01
2.20404842E-02  1.19803564E+00  2.42578004E-01
2.25590838E-02  1.29639262E+00  2.41929521E-01
2.30776835E-02  1.09132522E+00  2.41162805E-01
2.35962831E-02  1.07615198E+00  2.26656325E-01
2.41148827E-02  1.03159317E+00  2.23465353E-01
2.46334823E-02  1.22835805E+00  2.17378315E-01
2.51520820E-02  1.17826192E+00  2.17748610E-01
2.56706816E-02  1.00111651E+00  2.14912601E-01
2.61892812E-02  1.35495474E+00  2.01558576E-01
2.67078808E-02  1.12906515E+00  1.97647824E-01
2.72264805E-02  1.04299866E+00  1.88427026E-01
2.77450801E-02  1.10131642E+00  1.84309394E-01
2.82636797E-02  1.04762171E+00  1.75525042E-01
2.87822794E-02  1.15134452E+00  1.70158552E-01
2.93008790E-02  1.32982125E+00  1.70008123E-01
2.98194786E-02  1.05013071E+00  1.65672531E-01
3.03380782E-02  1.25297381E+00  1.60617330E-01
3.08566779E-02  1.54969189E+00  1.55646179E-01
3.13752775E-02  7.75464320E-01  1.46730496E-01
3.18938771E-02  1.13563507E+00  1.51297277E-01
3.24124768E-02  1.02748030E+00  1.43353750E-01
3.29310764E-02  9.54637252E-01  1.39512638E-01
3.34496760E-02  1.07607275E+00  1.38005997E-01
3.39682756E-02  1.05380102E+00  1.36496976E-01
3.44868753E-02  9.16537108E-01  1.31848876E-01
3.50054749E-02  9.39980263E-01  1.28306922E-01
3.55240745E-02  7.72074420E-01  1.28678865E-01
3.60426742E-02  1.18652614E+00  1.28584086E-01
3.65612738E-02  9.68469108E-01  1.24873666E-01
3.70798734E-02  9.48876559E-01  1.23821988E-01
3.75984730E-02  9.43297552E-01  1.18817550E-01
3.81170727E-02  1.03307419E+00  1.21206564E-01
3.86356723E-02  8.65573850E-01  1.15775790E-01
3.91542719E-02  8.74966978E-01  1.15841422E-01
3.96728716E-02  1.08478230E+00  1.14959397E-01
4.01914712E-02  6.42865710E-01  1.08254912E-01
4.07100708E-02  1.02128783E+00  1.13611620E-01
4.12286704E-02  8.15243749E-01  1.07104890E-01
4.17472701E-02  8.08604054E-01  1.07962265E-01
4.22658697E-02  1.04746471E+00  1.07349321E-01
4.27844693E-02  8.47355688E-01  1.04087828E-01
4.33030690E-02  7.78669009E-01  1.03627202E-01
4.38216686E-02  9.07092536E-01  1.02794354E-01
4.43402682E-02  9.44878317E-01  1.02538247E-01
4.48588678E-02  7.48150622E-01  9.93940634E-02
4.53774675E-02  8.42330891E-01  9.71846003E-02
4.58960671E-02  7.59517503E-01  9.76653749E-02
4.64146667E-02  7.05062530E-01  9.54678977E-02
