### DATA:
#
# 559
#      Q             I(Q)           Error     
9.37199723E-03  3.96237123E-04  3.10740658E-04
9.89266274E-03  4.81466621E-04  2.19774539E-04
1.04133281E-02  3.18197111E-04  1.87998631E-04
1.09339933E-02  1.86843214E-04  1.62237749E-04
1.14546582E-02  2.55485015E-04  1.33947450E-04
1.19753230E-02  1.71046525E-04  1.10751921E-04
1.24959877E-02  1.39853372E-04  8.70988829E-05
1.30166521E-02  2.50984370E-04  7.39133340E-05
1.35373162E-02  1.82520720E-04  6.38541229E-05
1.40579802E-02  3.07114952E-04  5.62071989E-05
1.45786439E-02  2.14009587E-04  4.74739176E-05
1.50993074E-02  2.85598085E-04  4.15025251E-05
1.56199707E-02  2.68469890E-04  3.77354231E-05
1.61406336E-02  2.31128356E-04  3.46991399E-05
1.66612964E-02  2.32215736E-04  3.13560039E-05
1.71819588E-02  2.14831334E-04  3.03700979E-05
1.77026210E-02  2.23969948E-04  2.65709586E-05
1.82232828E-02  2.24821899E-04  2.68877506E-05
1.87439444E-02  2.38399871E-04  2.53295828E-05
1.92646056E-02  2.53154379E-04  2.49014590E-05
1.97852666E-02  1.85171732E-04  2.24625391E-05
2.03059272E-02  2.31519589E-04  2.11156221E-05
2.08265875E-02  1.94254854E-04  1.92820879E-05
2.13472474E-02  1.95445242E-04  1.89356900E-05
2.18679070E-02  1.77332216E-04  1.81749996E-05
2.23885662E-02  1.91366519E-04  1.65626545E-05
2.29092251E-02  1.90677807E-04  1.60777932E-05
2.34298835E-02  2.34443386E-04  1.61689624E-05
2.39505416E-02  1.97048847E-04  1.54707634E-05
2.44711993E-02  2.25885141E-04  1.51453455E-05
2.49918566E-02  2.17374436E-04  1.39351450E-05
2.55125135E-02  2.02178477E-04  1.34559119E-05
2.60331699E-02  2.23485813E-04  1.26320373E-05
2.65538260E-02  1.88519724E-04  1.22964654E-05
2.70744815E-02  1.89671448E-04  1.18079885E-05
2.75951367E-02  2.00928617E-04  1.11156402E-05
2.81157914E-02  1.85438994E-04  1.09231605E-05
2.86364456E-02  1.94782665E-04  1.09934761E-05
2.91570993E-02  1.91999933E-04  1.04909734E-05
2.96777526E-02  1.92269476E-04  1.03091244E-05
3.01984054E-02  1.72766532E-04  9.75651683E-06
3.07190577E-02  2.03622267E-04  9.79492157E-06
3.12397095E-02  1.73638884E-04  9.43253942E-06
3.17603607E-02  1.82195222E-04  9.46659816E-06
3.22810114E-02  1.70012279E-04  9.05805621E-06
3.28016617E-02  1.80892264E-04  8.97898518E-06
3.33223113E-02  1.79863234E-04  8.82247000E-06
3.38429604E-02  1.79273408E-04  8.41631502E-06
3.43636090E-02  1.73084391E-04  8.43857892E-06
3.48842570E-02  1.65176687E-04  8.28296891E-06
3.54049044E-02  1.66966699E-04  8.03951687E-06
3.59255512E-02  1.71755955E-04  7.86735686E-06
3.64461975E-02  1.64696708E-04  8.15278749E-06
3.69668431E-02  1.73379116E-04  7.73079670E-06
3.74874881E-02  1.55838464E-04  7.63065684E-06
3.80081325E-02  1.59257368E-04  7.42993146E-06
3.85287763E-02  1.67843730E-04  7.65552712E-06
3.90494195E-02  1.52237535E-04  7.37426705E-06
3.95700620E-02  1.60570731E-04  7.46156556E-06
4.00907038E-02  1.69204901E-04  7.26582491E-06
4.06113450E-02  1.55536014E-04  7.18285745E-06
4.11319855E-02  1.46371816E-04  6.98592729E-06
4.16526253E-02  1.50915241E-04  7.07148874E-06
4.21732645E-02  1.39323015E-04  6.60762405E-06
4.26939030E-02  1.50380123E-04  6.65931208E-06
4.32145407E-02  1.44149804E-04  6.43633077E-06
4.37351778E-02  1.36408411E-04  6.36885018E-06
4.42558141E-02  1.39512784E-04  6.17799136E-06
4.47764497E-02  1.38462515E-04  6.01580689E-06
4.52970845E-02  1.31105330E-04  6.01217025E-06
4.58177186E-02  1.29812892E-04  6.00672010E-06
4.63383520E-02  1.41631285E-04  5.85084575E-06
4.68589845E-02  1.28049736E-04  5.63283094E-06
4.73796164E-02  1.27582845E-04  5.72315462E-06
4.79002474E-02  1.20657629E-04  5.37270575E-06
4.84208776E-02  1.21565838E-04  5.62581798E-06
4.89415071E-02  1.22553003E-04  5.80296695E-06
4.94621357E-02  1.24983408E-04  5.74270714E-06
4.99827635E-02  1.36090086E-04  5.75231788E-06
