# Position, Conc, Conc_std
1.199999999999999956e+00,-8.734402468751290779e-132,3.974684648773108204e-145
1.189999999999999947e+00,-8.734402468751256994e-132,3.892875867516042631e-145
1.179999999999999938e+00,-8.734402468675999941e-132,2.370680329915669884e-142
1.169999999999999929e+00,-8.734402454162157562e-132,7.152350326404111023e-140
1.159999999999999920e+00,-8.734394581885892056e-132,2.767624531351507992e-137
1.149999999999999911e+00,-8.734302302318793886e-132,1.056095262498062553e-135
1.139999999999999902e+00,-8.698484696810882239e-132,1.370940523047277210e-133
1.129999999999999893e+00,-9.099624677891015772e-132,3.263975329455281289e-132
1.119999999999999885e+00,-5.648990547804240710e-131,1.003151582103687737e-130
1.109999999999999876e+00,-1.574409651145162150e-129,3.044835547780324466e-129
1.099999999999999867e+00,-2.878143873101589074e-128,4.116121668261226718e-128
1.089999999999999858e+00,-6.549268406319896682e-127,9.266712323348365369e-127
1.079999999999999849e+00,-6.672259077867658418e-126,9.834212182101267001e-126
1.069999999999999840e+00,-1.281768951621391742e-124,1.785875918515778984e-124
1.059999999999999831e+00,-1.350213498511720896e-123,1.988213390480992214e-123
1.049999999999999822e+00,-2.610741802570912832e-122,3.641042133543423985e-122
1.039999999999999813e+00,-2.745902871442816114e-121,4.042121990059896544e-121
1.029999999999999805e+00,-5.335293228646456320e-120,7.454487413002204262e-120
1.019999999999999796e+00,-5.619131632295252847e-119,8.289126286972484907e-119
1.009999999999999787e+00,-1.091890072406430094e-117,1.529837063961748904e-117
9.999999999999997780e-01,-1.150063066633795424e-116,1.700569045651640518e-116
9.899999999999997691e-01,-2.234769597043098645e-115,3.140759691142215824e-115
9.799999999999997602e-01,-2.354021456849334765e-114,3.489952160050361888e-114
9.699999999999997513e-01,-4.574270037621354045e-113,6.450573171478090858e-113
9.599999999999997424e-01,-4.818811529203920459e-112,7.164624764254274734e-112
9.499999999999997335e-01,-9.363702967455992954e-111,1.325405109087126665e-110
9.399999999999997247e-01,-9.865434719221568247e-110,1.471383367727194581e-109
9.299999999999997158e-01,-1.916959234503869422e-108,2.724577650287436523e-108
9.199999999999997069e-01,-2.019978284894139539e-107,3.022922113459489765e-107
9.099999999999996980e-01,-3.924825816447979390e-106,5.603558761313710520e-106
8.999999999999996891e-01,-4.136563410617088664e-105,6.213071086730018137e-105
8.899999999999996803e-01,-8.346644662737708331e-104,1.217966273393149456e-103
8.799999999999996714e-01,-8.472349173221211151e-103,1.277532179627064033e-102
8.699999999999996625e-01,-1.710133548295401506e-101,2.510209388777373337e-101
8.599999999999996536e-01,-1.735603034746947297e-100,2.628026467540355954e-100
8.499999999999996447e-01,-3.504335535486709370e-99,5.176736702888744985e-99
8.399999999999996358e-01,-3.556266801225046624e-98,5.408586491486177205e-98
8.299999999999996270e-01,-7.181898979858986295e-97,1.068286627265357620e-96
8.199999999999996181e-01,-7.288801268921655182e-96,1.113612472597100764e-95
8.099999999999996092e-01,-1.472079418706080983e-94,2.206064560892147714e-94
7.999999999999996003e-01,-1.494393116014099995e-93,2.293907045269349733e-93
7.899999999999995914e-01,-3.017740358721526914e-92,4.558888654633589470e-92
7.799999999999995826e-01,-3.065227459632029521e-91,4.727128791670656056e-91
7.699999999999995737e-01,-6.187186455864155363e-90,9.427992005992653152e-90
7.599999999999995648e-01,-6.290903158414539178e-89,9.744915722958139811e-89
7.499999999999995559e-01,-1.268732163335852617e-87,1.951208616023316416e-87
7.399999999999995470e-01,-1.292137631099478607e-86,2.009478830140326680e-86
7.299999999999995381e-01,-2.602083480164998499e-85,4.041192230422267559e-85
7.199999999999995293e-01,-2.656963765131929470e-84,4.144401211003821998e-84
7.099999999999995204e-01,-5.416474213189950190e-83,8.411810173046650105e-83
6.999999999999995115e-01,-5.472088529524564039e-82,8.547512653309407572e-82
6.899999999999995026e-01,-1.110641473380908920e-80,1.743813333299967300e-80
6.799999999999994937e-01,-1.132053170843358729e-79,1.769246128540487832e-79
6.699999999999994849e-01,-2.279159858923248876e-78,3.620354464990754403e-78
6.599999999999994760e-01,-2.345686375513430249e-77,3.648769003450837943e-77
6.499999999999994671e-01,-4.678096818169224349e-76,7.515351720436386842e-76
6.399999999999994582e-01,-4.886997527575774795e-75,7.524423609279964428e-75
6.299999999999994493e-01,-9.616499840842998742e-74,1.561335002278214907e-73
6.199999999999994404e-01,-1.025333636842607299e-72,1.548324359506711968e-72
6.099999999999994316e-01,-1.980699790246097176e-71,3.242015696110540216e-71
5.999999999999994227e-01,-2.178973418731357325e-70,3.192380474923994110e-70
5.899999999999994138e-01,-4.102995888727336738e-69,6.743848840090528030e-69
5.799999999999994049e-01,-4.717247727438042516e-68,6.609148409845763809e-68
5.699999999999993960e-01,-8.569510879924821667e-67,1.402805850648915471e-66
5.599999999999993872e-01,-1.049106135923129857e-65,1.387642882670613269e-65
5.499999999999993783e-01,-1.816847891127926539e-64,2.920929270170686248e-64
5.399999999999993694e-01,-2.424814434842989748e-63,3.032862082636267334e-63
5.299999999999993605e-01,-3.971340485950136759e-62,6.098320129345811944e-62
5.199999999999993516e-01,-5.906348060937218166e-61,7.256792665012889212e-61
5.099999999999993427e-01,-8.965929200381896640e-60,1.299277006294580854e-59
4.999999999999993339e-01,-1.533718431155962012e-58,2.003253865748475915e-58
4.899999999999993250e-01,-2.157686509641022972e-57,2.936552911398439651e-57
4.799999999999993161e-01,-4.278195642432956808e-56,6.368248744520104413e-56
4.699999999999993072e-01,-5.647926650743910680e-55,7.780339152616459488e-55
4.599999999999992983e-01,-1.286797355562084433e-53,2.229222943031808180e-53
4.499999999999992895e-01,-1.623263714464305468e-52,2.580748364087060773e-52
4.399999999999992806e-01,-4.070373252711921317e-51,8.322199364687168192e-51
4.299999999999992717e-01,-4.981020690963977984e-50,1.012002151496449058e-49
4.199999999999992628e-01,-1.297625357944895162e-48,3.321801158054184834e-48
4.099999999999992539e-01,-1.953923683549401867e-47,4.501985372647016435e-47
3.999999999999992450e-01,-4.820098784699588759e-45,1.170997812024080845e-44
3.899999999999992362e-01,2.285134752253892634e-45,7.233001584670133385e-44
3.799999999999992273e-01,7.193366331294124806e-42,2.355955598059561940e-41
